Ticker,Name,Category,Stars,NET,Gross,YTD,1yr,3yr,5yr,10yr
NCHAX,Nuveen California High Yield Municipal Bond Fund Class A,Muni California Long,5,1.05,1.05,N/A,   0.14,   3.30,   6.79,   9.20
NDVAX,MFS New Discovery Value Fund Class A,Small Value,5,1.33,1.33,N/A,  -0.18,  11.26,   8.01,N/A
OLCAX,Oppenheimer Rochester<sup>&reg;</sup> Limited Term California Municipal Fund Class A,Muni Single State Short,5,0.98,0.98,N/A,   6.61,   2.46,   2.80,   4.47
OPCAX,Oppenheimer Rochester<sup>&reg;</sup> California Municipal Fund Class A,Muni California Long,5,1.07,1.07,N/A,   6.95,   4.90,   6.19,   9.01
OPNYX,Oppenheimer Rochester<sup>&reg;</sup> AMT-Free New York Municipals Fund Class A,Muni New York Long,5,1.02,1.02,N/A,   6.92,   3.89,   5.37,   7.55
OPTAX,Oppenheimer Rochester<sup>&reg;</sup> AMT-Free Municipals Fund Class A,High Yield Muni,5,1.04,1.04,N/A,   8.07,   5.33,   6.93,   8.67
ORSTX,Oppenheimer Short Term Municipal Fund Class A,Muni National Short,5,0.86,0.86,N/A,   1.09,   1.46,   1.87,N/A
PBLAX,Principal Blue Chip Fund Class A,Large Growth,4,1.15,1.15,N/A,  11.45,  14.99,  12.74,N/A
PFANX,PIMCO Preferred and Capital Securities Fund Class A,Preferred Stock,5,1.15,1.22,N/A,  -3.13,   5.42,N/A,N/A
PIAFX,Invesco Multi-Asset Income Fund Class A,Allocation--15% to 30% Equity,5,0.85,1.06,N/A,  -3.18,   5.40,   5.28,N/A
PRGSX,T. Rowe Price Global Stock Fund,World Large Stock,5,0.84,0.84,N/A,   4.56,  13.15,  11.42,  14.94
PRJPX,T. Rowe Price Japan Fund,Japan Stock,4,0.97,0.98,N/A,  -2.51,  12.70,   8.88,   9.47
PRSNX,T. Rowe Price Global Multi-Sector Bond Fund Investor Class,World Bond,5,0.64,0.72,N/A,  -0.29,   3.87,   3.25,N/A
PSHAX,PIMCO Short-Term Fund Class A,Ultrashort Bond,5,0.82,0.82,N/A,   1.67,   2.10,   1.58,   2.36
PZRMX,PIMCO Inflation Response Multi-Asset Fund Class A,Allocation--15% to 30% Equity,2,1.67,1.96,N/A,  -1.71,   4.39,   1.42,N/A
RAANX,Altegris/AACA Opportunistic Real Estate Fund N,Real Estate,5,2.57,2.57,N/A,  -8.31,   8.83,N/A,N/A
RBBAX,Columbia Income Builder Fund Class A,Allocation--15% to 30% Equity,5,1,1,N/A,   0.16,   4.97,   4.05,   7.39
RPFRX,Davis Real Estate Fund Class A,Real Estate,4,0.97,0.97,N/A,   4.22,   7.37,  10.10,  13.52
RYOFX,Royce Opportunity Fund Service Class,Small Value,4,1.49,1.53,N/A,  -6.82,  10.83,   5.03,  15.62
SGIDX,Crossmark Steward Global Equity Income Fund Class A,World Large Stock,5,0.99,0.99,N/A,   1.70,  10.91,   8.48,  11.51
SIUPX,Guggenheim Investment Grade Bond Fund Class P,Intermediate-Term Bond,5,0.81,1.03,N/A,   0.40,   3.60,   3.91,   5.32
SRCMX,Principal California Municipal Fund Class A,Muni California Intermediate,5,0.82,0.82,N/A,  -0.12,   2.12,   4.55,   6.00
TAIFX,American Funds Tax-Advantaged Growth and Income Portfolio Class F-1,Allocation--30% to 50% Equity,5,0.73,0.73,N/A,   1.85,   6.42,   6.35,N/A
THOPX,Thompson Bond Fund,Short-Term Bond,5,0.71,0.71,N/A,   2.43,   5.00,   2.99,   6.47
TMSIX,Thrivent Mid Cap Stock Fund Class S,Mid-Cap Blend,5,0.72,0.72,N/A,   1.41,  14.05,  12.32,  16.55
VALIX,Value Line Capital Appreciation Fund, Inc. Investor Class,Allocation--70% to 85% Equity,5,1.11,1.11,N/A,   6.39,  10.01,   8.37,  10.44
VISAX,Virtus KAR International Small-Cap Fund Class A,Foreign Small/Mid Blend,5,1.65,1.73,N/A,  -0.25,  15.13,   7.64,N/A
VMPAX,Wells Fargo Strategic Municipal Bond Fund - Class A,Muni National Short,5,0.82,0.82,N/A,   1.43,   1.68,   2.16,   2.99
WBSNX,William Blair Small Cap Growth Fund Class N,Small Growth,5,1.5,1.54,N/A,  12.47,  18.18,  11.06,  18.13
WCMRX,WCM Focused International Growth Fund Investor Class,Foreign Large Growth,5,1.31,1.31,N/A,  -1.80,   7.72,   6.23,N/A
WMICX,Wasatch Micro Cap Fund,Small Growth,5,1.67,1.67,N/A,  16.95,  18.23,  11.37,  17.01
WWNPX,Kinetics Paradigm Fund No Load Class,Mid-Cap Growth,3,1.64,1.74,N/A,   7.68,  14.48,   7.91,  13.62
