Ticker,Pick/Not,Category,Stars,NET,YTD,1yr,3yr,5yr,10yr,Cusip,Code
FGRTX,Pick,Large Blend,3,0.68,-7.78,4.73,10.39,9.12,13.89,31617F403,
GABEX,,Large Blend,2,1.39,-11.60,-0.93,6.44,5.37,11.28,36239T202,
MPGFX,,Large Blend,3,0.64,-6.17,5.94,11.31,8.79,13.55,56064V205,
PRBLX,,Large Blend,4,0.87,-0.98,9.00,11.06,10.36,13.88,701769101,
SMVLX,,Large Value,4,1.29,-5.62,8.65,9.51,10.19,15.89,83178C881,
VCVLX,,Large Value,3,0.27,-14.31,-1.70,5.71,3.58,15.18,922020409,
VDIGX,,Large Blend,4,0.26,-0.56,10.64,11.47,10.37,13.33,921908604,
VICEX,,Large Blend,2,1.53,-22.30,-11.61,5.54,4.69,11.57,90347D203,
YAFFX,,Large Blend,4,1.27,0.89,10.30,12.51,8.95,15.71,00170K570,
YACKX,,Large Value,5,0.76,2.20,9.87,11.83,8.66,15.40,00170K588,
VHCOX,,Large Growth,5,0.44,-4.88,7.94,15.36,13.76,17.78,922038302,
SHRAX,,Large Growth,2,1.12,-8.92,4.46,6.76,6.90,14.99,52468C109,
FCNTX,Pick,Large Growth,3,0.74,-2.93,6.54,12.72,11.65,15.01,316071109,
FTQGX,Pick,Large Growth,3,0.57,4.56,14.47,15.05,11.19,15.26,316066406,
FOCPX,,Large Growth,5,0.88,-3.89,6.03,15.21,15.18,20.41,316389105,
PARWX,,Large Blend,5,0.92,-14.21,-0.84,13.00,13.07,17.93,701765869,
MXXVX,,Large Blend,3,1.08,-19.56,-5.53,10.07,6.68,17.89,577119100,
TRBCX,,Large Growth,5,0.7,1.20,11.41,15.18,14.03,18.33,77954Q106,
